2025-11-19 15:55:37,812 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - World Bank & GFDRR Climate Adaptation Metadata Collection
2025-11-19 15:55:37,813 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - Fetching ICR document metadata (limit: 200)...
2025-11-19 15:57:13,047 - INFO - Fetched 1 ICR document metadata records (offset: 6950, total: 140)
2025-11-19 15:57:13,707 - INFO - Fetched 1 ICR document metadata records (offset: 7000, total: 141)
2025-11-19 15:57:14,335 - INFO - Fetched 1 ICR document metadata records (offset: 7050, total: 142)
2025-11-19 15:57:14,978 - INFO - Fetched 1 ICR document metadata records (offset: 7100, total: 143)
2025-11-19 15:57:15,598 - INFO - Fetched 1 ICR document metadata records (offset: 7150, total: 144)
2025-11-19 15:57:16,333 - INFO - Fetched 1 ICR document metadata records (offset: 7200, total: 145)
2025-11-19 15:57:17,035 - INFO - Fetched 1 ICR document metadata records (offset: 7250, total: 146)
2025-11-19 15:57:17,700 - INFO - Fetched 1 ICR document metadata records (offset: 7300, total: 147)
2025-11-19 15:57:18,334 - INFO - Fetched 1 ICR document metadata records (offset: 7350, total: 148)
2025-11-19 15:57:18,967 - INFO - Fetched 1 ICR document metadata records (offset: 7400, total: 149)
2025-11-19 15:57:19,585 - INFO - Fetched 1 ICR document metadata records (offset: 7450, total: 150)
2025-11-19 15:57:20,250 - INFO - Fetched 1 ICR document metadata records (offset: 7500, total: 151)
2025-11-19 15:57:20,899 - INFO - Fetched 1 ICR document metadata records (offset: 7550, total: 152)
2025-11-19 15:57:21,551 - INFO - Fetched 1 ICR document metadata records (offset: 7600, total: 153)
2025-11-19 15:57:22,197 - INFO - Fetched 1 ICR document metadata records (offset: 7650, total: 154)
2025-11-19 15:57:22,845 - INFO - Fetched 1 ICR document metadata records (offset: 7700, total: 155)
2025-11-19 15:57:23,547 - INFO - Fetched 1 ICR document metadata records (offset: 7750, total: 156)
2025-11-19 15:57:24,219 - INFO - Fetched 1 ICR document metadata records (offset: 7800, total: 157)
2025-11-19 15:57:24,909 - INFO - Fetched 1 ICR document metadata records (offset: 7850, total: 158)
2025-11-19 15:57:25,600 - INFO - Fetched 1 ICR document metadata records (offset: 7900, total: 159)
2025-11-19 15:57:26,277 - INFO - Fetched 1 ICR document metadata records (offset: 7950, total: 160)
2025-11-19 15:57:26,955 - INFO - Fetched 1 ICR document metadata records (offset: 8000, total: 161)
2025-11-19 15:57:27,616 - INFO - Fetched 1 ICR document metadata records (offset: 8050, total: 162)
2025-11-19 15:57:28,328 - INFO - Fetched 1 ICR document metadata records (offset: 8100, total: 163)
2025-11-19 15:57:29,003 - INFO - Fetched 1 ICR document metadata records (offset: 8150, total: 164)
2025-11-19 15:57:29,620 - INFO - Fetched 1 ICR document metadata records (offset: 8200, total: 165)
2025-11-19 15:57:30,353 - INFO - Fetched 1 ICR document metadata records (offset: 8250, total: 166)
2025-11-19 15:57:31,101 - INFO - Fetched 1 ICR document metadata records (offset: 8300, total: 167)
2025-11-19 15:57:31,721 - INFO - Fetched 1 ICR document metadata records (offset: 8350, total: 168)
2025-11-19 15:57:32,397 - INFO - Fetched 1 ICR document metadata records (offset: 8400, total: 169)
2025-11-19 15:57:33,052 - INFO - Fetched 1 ICR document metadata records (offset: 8450, total: 170)
2025-11-19 15:57:33,722 - INFO - Fetched 1 ICR document metadata records (offset: 8500, total: 171)
2025-11-19 15:57:34,407 - INFO - Fetched 1 ICR document metadata records (offset: 8550, total: 172)
2025-11-19 15:57:35,043 - INFO - Fetched 1 ICR document metadata records (offset: 8600, total: 173)
2025-11-19 15:57:35,772 - INFO - Fetched 1 ICR document metadata records (offset: 8650, total: 174)
2025-11-19 15:57:36,416 - INFO - Fetched 1 ICR document metadata records (offset: 8700, total: 175)
2025-11-19 15:57:37,039 - INFO - Fetched 1 ICR document metadata records (offset: 8750, total: 176)
2025-11-19 15:57:37,722 - INFO - Fetched 1 ICR document metadata records (offset: 8800, total: 177)
2025-11-19 15:57:38,375 - INFO - Fetched 1 ICR document metadata records (offset: 8850, total: 178)
2025-11-19 15:57:39,028 - INFO - Fetched 1 ICR document metadata records (offset: 8900, total: 179)
2025-11-19 15:57:39,751 - INFO - Fetched 1 ICR document metadata records (offset: 8950, total: 180)
2025-11-19 15:57:40,382 - INFO - Fetched 1 ICR document metadata records (offset: 9000, total: 181)
2025-11-19 15:57:41,108 - INFO - Fetched 1 ICR document metadata records (offset: 9050, total: 182)
2025-11-19 15:57:41,791 - INFO - Fetched 1 ICR document metadata records (offset: 9100, total: 183)
2025-11-19 15:57:42,488 - INFO - Fetched 1 ICR document metadata records (offset: 9150, total: 184)
2025-11-19 15:57:43,138 - INFO - Fetched 1 ICR document metadata records (offset: 9200, total: 185)
2025-11-19 15:57:43,824 - INFO - Fetched 1 ICR document metadata records (offset: 9250, total: 186)
2025-11-19 15:57:44,447 - INFO - Fetched 1 ICR document metadata records (offset: 9300, total: 187)
2025-11-19 15:57:45,103 - INFO - Fetched 1 ICR document metadata records (offset: 9350, total: 188)
2025-11-19 15:57:45,725 - INFO - Fetched 1 ICR document metadata records (offset: 9400, total: 189)
2025-11-19 15:57:46,394 - INFO - Fetched 1 ICR document metadata records (offset: 9450, total: 190)
2025-11-19 15:57:47,086 - INFO - Fetched 1 ICR document metadata records (offset: 9500, total: 191)
2025-11-19 15:57:47,713 - INFO - Fetched 1 ICR document metadata records (offset: 9550, total: 192)
2025-11-19 15:57:48,419 - INFO - Fetched 1 ICR document metadata records (offset: 9600, total: 193)
2025-11-19 15:57:49,228 - INFO - Fetched 1 ICR document metadata records (offset: 9650, total: 194)
2025-11-19 15:57:49,885 - INFO - Fetched 1 ICR document metadata records (offset: 9700, total: 195)
2025-11-19 15:57:50,535 - INFO - Fetched 1 ICR document metadata records (offset: 9750, total: 196)
2025-11-19 15:57:51,210 - INFO - Fetched 1 ICR document metadata records (offset: 9800, total: 197)
2025-11-19 15:57:51,903 - INFO - Fetched 1 ICR document metadata records (offset: 9850, total: 198)
2025-11-19 15:57:52,611 - INFO - Fetched 1 ICR document metadata records (offset: 9900, total: 199)
2025-11-19 15:57:53,304 - INFO - Fetched 1 ICR document metadata records (offset: 9950, total: 200)
2025-11-19 15:57:53,304 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,304 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,304 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,304 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,304 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,305 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
